word,phonetics,origin,definition,partOfSpeech
psychophysiology,,,The branch of physiology that deals with the interaction of the mind and physiological processes,noun
parapsychologist,-ˌther-ə-ˈpyüt-ik,,"of, relating to, or used in psychotherapy",adjective
photolithography,"-ˌkän-ˌdək-ˈtiv-ət-ē, -kən-",,electrical conductivity that is affected by exposure to electromagnetic radiation (as light),noun
piezoelectricity,,,The ability of certain crystals to generate a voltage in response to applied mechanical stress.,noun
photocoagulation,,,"A surgical procedure in which a tumour, or diseased retinal tissue, is destroyed by using a laser.",noun
perchloromethane,ˌsī-kō-liŋ-ˈgwis-tiks,,"the study of the mental faculties involved in the perception, production, and acquisition of language",noun
photoelectricity,-i-ˌlek-ˈtris-ət-ē,,electricity produced by the action of light; a branch of physics that deals with the electrical effects of light,noun
photosensitivity,ˌfär-mə-ˈkäl-ə-jē,,"the science of drugs including their origin, composition, pharmacokinetics, therapeutic use, and toxicology; the properties and reactions of drugs especially with relation to their therapeutic value",noun
palaeodendrology,"ˌpent-i-ˌlēn-ˈte-trə-ˌzȯl, -ˌzōl",,"a white crystalline drug C6H10N4 formerly used as a respiratory, circulatory, and central nervous system stimulant",noun
phylogenetically,ˌfiz-ē-ō-ˌther-ə-ˈpyüt-ik,,of or relating to physical therapy,adjective
pharmacogenetics,,,The study of genetic variation that gives rise to differing responses to drugs.,noun
pharmacokinetics,,,"A branch of pharmacology concerned with the rate at which drugs are absorbed, distributed, metabolized, and eliminated by the body.",noun
paleoclimatology,,,The scientific study of prehistoric climate of the Earth.,noun
pneumonoconiosis,-ˌkō-nē-ˈō-səs,,pneumoconiosis,noun
psychopathologic,ˌsī-kō-ˌpath-ə-ˈläj-i-kəl,,"of, relating to, or exhibiting psychopathology",adjective
phlebothrombosis,ˌflē-bō-thräm-ˈbō-səs,,venous thrombosis accompanied by little or no inflammation,noun
reinterpretation,,,The condition of being reinterpreted,noun
relativistically,ˌspek-trō-fə-ˈtäm-ət-ər,,a photometer for measuring the relative intensities of the light in different parts of a spectrum,noun
rhabdomyosarcoma,-ˈkän-chəs,,incompletely conscious : imperfectly aware or responsive,adjective
roentgenographic,ˌspän-də-lō-lis-ˈthē-səs,,forward displacement of a lumbar vertebra on the one below it and especially of the fifth lumbar vertebra on the sacrum producing pain by compression of nerve roots,noun
radiophotography,"ˌsō-sē-ō-bī-ˈäl-ə-jē, ˌsō-shē-",,the comparative study of the biological basis of social organization and behavior in animals and humans especially with regard to their genetic basis and evolutionary history,noun
radiosensitivity,-ˌsen(t)-sə-ˈtiv-ət-ē,,the quality or state of being radiosensitive,noun
rhinolaryngology,ˈrī-nō-ˌlar-ən-ˈgäl-ə-jē,,a branch of medical science dealing with the nose and larynx,noun
rhinosporidiosis,ˌsü-pər-ˌal-ə-mən-ˈtā-shən,,the action or process of overfeeding —called also hypernutrition,noun
radioimmunoassay,,,A procedure that uses the binding of a radioactively labeled substance to an antibody in order to analyze minute amounts of biological compounds.,noun
semiprofessional,,,A semiprofessional person.,noun
shortsightedness,,,"Myopia, nearsightedness",noun
satisfactoriness,ˌtris-ˌkī-ˌdek-ə-ˈfō-bē-ə,,fear of the number 13,noun
sphygmomanometer,ˌthər-mō-kō-ˌag-yə-ˈlā-shən,,surgical coagulation of tissue by the application of heat,noun
synchrocyclotron,"ˌthər-mō-dī-ˈnam-ik, -də-",,"of or relating to thermodynamics; being or relating to a system of atoms, molecules, colloidal particles, or larger bodies considered as an isolated group in the study of thermodynamic processes",adjective
substitutability,ˌtrā-kē-ō-bräŋ-ˈkīt-əs,,inflammation of the trachea and bronchi,noun
spiritualisation,"-ˌdī-ˌfen-ᵊl-ˈam-ˌēn, -ˌfēn-ᵊl-, -ə-ˈmēn",,phenothiazine,noun
stoutheartedness,,,a nonflammable liquid C2HCl3 used as a solvent and in medicine as an anesthetic and analgesic —abbreviation TCE,noun
suprarenalectomy,ˌsü-prə-ˌrē-nᵊl-ˈek-tə-mē,,adrenalectomy,noun
spondylarthritis,ˌspän-dil-är-ˈthrīt-əs,,arthritis of the spine,noun
sulfamethoxazole,,,"A particular kind of antibiotic, an antibacterial sulfonamide.",noun
superconsequence,"-ˈnes-tə-ˌrās, -ˌrāz",,any substance (as neostigmine) that inhibits a cholinesterase by combination with it,noun
superinstitution,"är-ˌtir-ē-ˌō-(ˌ)lō-sklə-ˈrō-səs, -ē-ə-ˌlō-",,thickening of the intima of arterioles (as of the kidney in hypertension) by hyaline and fatty deposits that reduce the lumen and obstruct blood flow,noun
superserviceable,-ˌkärs-ᵊn-ˈō-mə,,a malignant tumor originating in glandular epithelium,noun
sclerenchymatous,,,a pathological condition in which the body forms few or no gamma globulins or antibodies,noun
syphilodermatous,"ˌant-i-ˌviv-ə-ˈsek-shən, ˌan-ˌtī-, -ˈviv-ə-ˌ",,opposition to animal experimentation and especially vivisection,noun
tintinnabulation,/ˌtɪntɪnˌnæbjuːˈleʃən/,,"A tinkling sound, as of a bell or of breaking glass.",noun
transcontinental,,,(chiefly in the plural) a transcontinental railroad.,noun
thermostatically,ˈthər-mə-ˌstat,,an automatic device for regulating temperature (as by controlling the supply of gas or electricity to a heating apparatus); a piece of apparatus (as a constant-temperature chamber) regulated by a thermostat,noun
transubstantiate,ˌkar-ik-tə-ˈris-tik,,serving to reveal and distinguish the individual character,adjective
teleconferencing,-ˌther-ə-ˈpyüt-ik,,"of, relating to, or used in chemotherapy",adjective
trichotillomania,ˌklōr-ō-ˌas-ət-(ˌ)ō-fə-ˈnōn,,a chlorine derivative of acetophenone; especially : the alpha derivative C8H7ClO used especially in solution as a tear gas —abbreviation CN,noun
thermoelectrical,(ˌ)käk-ˌsid-ē-ˌȯid-ō-(ˌ)mī-ˈkō-səs,,"a disease of humans and domestic animals that is caused by inhalation of arthroconidia from either of two fungi of the genus Coccidioides (Coccidioides immitis and C. posadasii) found in dry soils of the southwestern U.S., Mexico, and Central America and that may be asymptomatic or present as a mild to serious flu-like illness marked chiefly by fever, cough, sore throat, headache, fatigue, and pneumonia but sometimes becoming disseminated beyond the lungs especially to the skin, bones, joints, and meninges resulting in painful lesions, swollen joints, or meningitis —called also cocci, San Joaquin fever, San Joaquin valley fever, valley fever",noun
trigonometrician,ˌsīt-ō-ˌär-kə-(ˌ)tek-ˈtän-iks,,cytoarchitecture,noun
trinitroglycerin,ˌtrī-ˌnī-trə-ˈglis-(ə-)rən,,nitroglycerin,noun
trichloromethane,,,Chloroform,noun
triiodothyronine,,,"The most powerful thyroid hormone, affecting almost every process in the body, including body temperature, growth, and heart rate.",noun
thrombocytopenia,,,An abnormally low number of platelets in the blood.,noun
thrombophlebitis,,,Phlebitis related to a blood clot or thrombus.,noun
thermogravimetry,bə-ˈlis-tō-ˈkärd-ē-ə-ˌgram,,the record made by a ballistocardiograph,noun
trifluoromethane,-stil-ˈbes-ˌtrȯl,,"a synthetic estrogen drug C18H20O2 used formerly to prevent miscarriage or premature delivery in humans and to promote growth in livestock —called also DES, stilbestrol",noun
theophilanthropy,-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
transportability,"tran(t)s-ˈpō(ə)rt, -ˈpȯ(ə)rt, ˈtran(t)s-ˌ",,to transfer or convey from one place to another,verb
transmissibility,,,The condition of being transmissible,noun
thermometrically,-ˌmer-(y)ə-lō-ni-ˈfrīt-əs,,"acute or chronic nephritis that involves inflammation of the capillaries of the renal glomeruli, has various causes (such as streptococcal infection, lupus, or vasculitis) or may be of unknown cause, is marked especially by blood or protein in the urine and by edema, and if untreated may lead to kidney failure",noun
thermomultiplier,-ˌen-tə-ˈräl-ə-jist,,a specialist in gastroenterology,noun
thalamencephalon,"ˌhī-pə-ˌral-ˈdäs-tə-ˌrō-ˌniz-əm, -ˌral-dō-stə-ˈrō-",,aldosteronism,noun
transmutationist,ˌhī-pər-kə-ˌles-tə-rə-ˈlē-mē-ə,,the presence of excess cholesterol in the blood,noun
tranquillization,,,to make tranquil or calm; especially : to relieve of mental tension and anxiety by means of drugs,verb
undifferentiated,-ˌpar-ə-ˈthī-ˌrȯid-ˌiz-əm,,"an endocrine disorder that is marked by a deficiency of parathyroid hormone resulting in hypocalcemia and hyperphosphatemia and that is characterized especially by muscle weakness and cramps, tingling or numbness of the lips, hands, or feet, fatigue, and sometimes tetany",noun
unconventionally,-ˌflü-mə-ˈthī-ə-ˌzīd,,a diuretic and antihypertensive drug C8H8F3N3O4S2,noun
undiscriminating,"-ˈklōr-ə-ˌkwēn, -kwin",,"a drug derived from quinoline that is administered orally in the form of its sulfate C18H26ClN3O·H2SO4 to treat malaria, rheumatoid arthritis, and lupus erythematosus",noun
unresponsiveness,ˌən-ri-ˈspän(t)-siv,,not responsive (as to a stimulus or treatment),adjective
undernourishment,"ˌən-dər-ˈnər-isht, -ˈnə-risht",,supplied with less than the minimum amount of the nutrients or foods essential for sound health and growth : marked by undernutrition,adjective
underachievement,ˌən-dər-ə-ˈchē-vər,,a person (as a student) who fails to attain a predicted level of achievement or does not do as well as expected,noun
underdevelopment,-(ˌ)flu̇(-ə)r-ˈes-ᵊn(t)s,,the labeling of antibodies or antigens with fluorescent dyes especially for the purpose of demonstrating the presence of a particular antigen or antibody in a tissue preparation or smear,noun
unappreciatively,-ˌfar-ən-ˈjīt-əs,,inflammation of both the larynx and the pharynx,noun
unrespectability,ˈmyü-kō-ˌpäl-i-ˈsak-ə-ˌrīd,,glycosaminoglycan,noun
unimpressionable,-te-ˈstäs-tə-ˌrōn,,a synthetic androgen C20H30O2 administered orally especially in the treatment of male testosterone deficiency,noun
unfavourableness,ˌn(y)u̇r-ō-ˌfiz-ē-ˈäl-ə-jē,,physiology of the nervous system,noun
unmanageableness,ˌsī-kō-ˌfär-mə-ˈkäl-ə-jē,,the study of the effect of drugs on the mind and behavior,noun
anachronistically,-iks,,psychotherapy,noun
australopithecine,ˌsī-kō-ˌpath-ə-ˈläj-i-kəl,,"of, relating to, or exhibiting psychopathology",adjective
batrachomyomachia,-ˌgraf,,an instrument for dispersing radiation (as electromagnetic radiation or sound waves) into a spectrum and photographing or mapping the spectrum,noun
commercialisation,ˈtrī-ˈfäs-fō-ˌpir-ə-ˌdēn-,,nadp,noun
compartmentalized,,,isolation or splitting off of part of the personality or mind with lack of communication and consistency between the parts,noun
contradistinguish,"ȯ-ˌrik-yə-(ˌ)lō-ven-ˈtrik-yə-lər, -vən-",,atrioventricular,adjective
compassionateness,-ˈtrō-pik,,acting on or stimulating the adrenal cortex,adjective
compartmentalised,-ˈtrō-pən,,acth,noun
cytoarchitectural,ˌsīt-ō-ˈär-kə-ˌtek-chər,,the cellular makeup of a bodily tissue or structure,noun
chemiluminescence,"ˌkem-i-ˌlü-mə-ˈnes-ᵊn(t)s, ˌkē-mi-",,luminescence (as bioluminescence) due to chemical reaction usually at low temperatures,noun
cerebromeningitis,"ˌkau̇nt-ər-tran(t)s-ˈfər-ən(t)s, -ˈtran(t)s-(ˌ)",,"[""psychological transference especially by a psychotherapist during the course of treatment; especially : the psychotherapist's reactions to the patient's transference"", 'the complex of feelings of a psychotherapist toward the patient",noun
cardiorespiratory,-(ˌ)fō-ˈtäm-ə-trē,,photometry applied to the study of the cell or its constituents,noun
cytoarchitectonic,-stil-ˈbes-ˌtrȯl,,"a synthetic estrogen drug C18H20O2 used formerly to prevent miscarriage or premature delivery in humans and to promote growth in livestock —called also DES, stilbestrol",noun
demonstrativeness,-ˌgraf,,an instrument for recording the changes of electrical potential occurring during the heartbeat used especially in diagnosing abnormalities of heart action,noun
denationalisation,-in-ˌsef-ə-ˈläg-rə-fē,,the use of ultrasound to examine and measure internal structures (as the ventricles) of the skull and to diagnose abnormalities and disease,noun
disadvantageously,-ˌmen-ən-ˈjīt-əs,,meningoencephalitis,noun
deconstructionism,-ˌpar-ə-ˈthī-ˌrȯid-ˌiz-əm,,"the presence of excess parathyroid hormone in the body resulting in disturbance of calcium metabolism with increase in serum calcium and decrease in inorganic phosphorus, loss of calcium from bone, and renal damage with frequent kidney-stone formation",noun
deconstructionist,"-ˌklōr-ə-ˈthī-ə-ˌzīd, -ˌklȯr-",,a diuretic and antihypertensive drug C7H8ClN3O4S2 —abbreviation HCTZ,noun
decriminalisation,-ˌsal-ˈpiŋ-gə-ˌgram,,a radiograph made by hysterosalpingography,noun
dedifferentiation,-ˌren-chē-ˈā-shən,,reversion of specialized structures (as cells) to a more generalized or primitive condition often as a preliminary to major physiological or structural change,noun
diphenylhydantoin,-hī-ˈdant-ə-wən,,phenytoin,noun
depersonalization,,,"[""the act or process of causing or the state resulting from loss of the sense of personal identity; especially : a psychopathological syndrome characterized by loss of identity and feelings of unreality or strangeness about one's own behavior""]",noun
depersonalisation,,,"[""the act or process of causing or the state resulting from loss of the sense of personal identity; especially : a psychopathological syndrome characterized by loss of identity and feelings of unreality or strangeness about one's own behavior""]",noun
desynchronisation,-ən-ˌsef-ə-ˈlīt-əs,,inflammation of the brain and meninges —called also encephalomeningitis,noun
desynchronization,,,the process or result of getting out of synchronization,noun
deflectionization,ˌōt-ō-ˌrī-nō-ˌlar-ən-ˈgäl-ə-jē,,"a medical specialty concerned especially with the ear, nose, and throat and related parts of the head and neck : otolaryngology",noun
disproportionable,"ˌpar-ə-ˌsim-pə-(ˌ)thō-mī-ˈmet-ik, -mə-",,simulating parasympathetic nervous action in physiological effect,adjective
disproportionally,-hə-ˌlüs-ᵊn-ˈā-shən,,an externalized sensory image vivid enough to be a hallucination but recognized as unreal,noun
dephosphorization,-(ˌ)hər-ˈmaf-rə-ˌdīt,,an individual exhibiting pseudohermaphroditism,noun
disrespectability,-in-ˈsef-ə-lə-ˌgram,,a radiograph made by pneumoencephalography,noun
electrocardiogram,,,a cataract operation in which the diseased lens is reduced to a liquid by ultrasonic vibrations and drained out of the eye,noun
extraordinariness,"ˌfen-ᵊl-ˌprō-pə-ˈnȯl-ə-ˌmēn, -ˈnōl-; -nȯ-ˈlam-ˌēn",,a sympathomimetic agent that has been used in the form of its hydrochloride C9H13NO·HCl especially as a nasal decongestant and appetite suppressant but has been largely withdrawn from use because of its link to hemorrhagic stroke —abbreviation PPA,noun
electronegativity,ˌrād-ē-ō-ˌfär-mə-ˈsüt-i-kəl,,a radioactive drug used for diagnostic or therapeutic purposes,noun
encephalomyelitis,in-ˌsef-ə-lō-ˌmī-ə-ˈlīt-əs,,concurrent inflammation of the brain and spinal cord,noun
electroretinogram,ˌstər-nō-ˌklīd-ə-ˈmas-ˌtȯid,,"a thick superficial muscle on each side that arises by one head from the first segment of the sternum and by a second from the inner part of the clavicle, that inserts into the mastoid process and occipital bone, and that acts especially to bend, rotate, flex, and extend the head",noun
electrostatically,ˌte-trə-ˌflu̇(-ə)r-ō-ˈeth-ə-ˌlēn,,a flammable gaseous fluorocarbon CF2=CF2 used in making polytetrafluoroethylene resins,noun
echoencephalogram,ˌek-ō-in-ˈsef-ə-lə-ˌgram,,a visual record obtained by echoencephalography,noun
extraprofessional,ˌte-trə-ˌklō-rō-ˈeth-ə-ˌlēn,,perchloroethylene,noun
gastroenterostomy,-ˈräs-tə-mē,,the surgical formation of a passage between the stomach and small intestine,noun
galactodensimeter,-ˌsen-trə-fyu̇-ˈgā-shən,,the process of using an ultracentrifuge,noun
haemorrhoidectomy,,,surgical removal of a hemorrhoid,noun
hemimetamorphosis,-ˌtran(t)s-ˌplan-ˈtā-shən,,"transplantation of an organ, tissue, or cells between two different species (as a human and a domestic swine)",noun
hypophysectomized,-ˈtrō-pik,,acting on or stimulating the adrenal cortex,adjective
heterogeneousness,"ˌā-ˌbā-tə-ˌlī-pə-ˌprō-tē-ˈnē-mē-ə, -ˌli-pə-, -ˌprō-tē-ə-ˈnē-, {it}chiefly British{/it} -ˌbē-",,a rare genetic disorder in which the body is unable to absorb dietary fats and fat-soluble vitamins (such as vitamin A and E) because of an absence of apolipoprotein B-containing lipoproteins (such as chylomicrons and VLDLs) in the blood plasma —called also Bassen-Kornzweig syndrome,noun
hyperpigmentation,"-ˌpig-mən-ˈtā-shən, -ˌmen-",,excess pigmentation in a body part or tissue (as the skin),noun
haemagglutination,,,agglutination of red blood cells,noun
haematocolpometra,ˌkris-tə-ˈläg-rə-fē,,a science that deals with the forms and structures of crystals,noun
haemoglobinopathy,-in-ˈsef-ə-lə-ˌgram,,the tracing of brain waves made by an electroencephalograph,noun
hypophysectomised,ˌhī-pər-kə-ˌles-tə-rə-ˈlē-mē-ə,,the presence of excess cholesterol in the blood,noun
hydrocarbonaceous,ˈhis-(ˌ)tō-ˌin-kəm-ˌpat-ə-ˈbil-ət-ē,,a state of mutual intolerance between tissues (as of a fetus and its mother or a graft and its host) that normally leads to reaction against or rejection of one by the other,noun
hydrofluosilicate,ˈhī-pə-rə-ˌdrē-nō-ˈkȯrt-ə-ˌsiz-əm,,"[""an abnormal condition marked by the presence of an excess of adrenocortical hormones and especially cortisol in the body; especially : cushing's syndrome""]",noun
haemoglobinometer,,,the presence of excess lipoprotein in the blood,noun
inconsiderateness,ī-ˌōd-ə-ˌklōr-hī-ˈdräk-sē-ˌkwin,,an antimicrobial and mildly irritant drug C9H5ClINO formerly used especially as an antidiarrheal but now used mainly as an antiseptic,noun
inappropriateness,ˈker-ə-(ˌ)tō-kən-ˌjəŋ(k)-tə-ˈvīt-əs,,combined inflammation of the cornea and conjunctiva; especially : epidemic keratoconjunctivitis,noun
inconspicuousness,-ˌkän-drə-ˈdis-trə-fē,,mucopolysaccharidosis; especially : hurler syndrome,noun
institutionalised,,,to place in or commit to the care of a specialized institution,verb
institutionalized,,,not institutionalized; especially : not having been placed in a special institution,adjective
industrialisation,,,not institutionalized; especially : not having been placed in a special institution,adjective
individualisation,"ˌin-də-ˈvij-(ə-)wə-ˌlīz, -ˈvij-ə-ˌlīz",,to adapt to the needs or special circumstances of an individual,verb
indefatigableness,"-ˌfen-ᵊl-ˈhī-drə-ˌzēn, -ˌfēn-",,a white crystalline compound C8H10ON2 less toxic than phenylhydrazine and used in the symptomatic treatment of polycythemia,noun
indeterminateness,ˌin-di-ˈtərm-(ə-)nət,,"relating to, being, or undergoing indeterminate cleavage",adjective
irreplaceableness,ˌan-ə-ˌtäm-ə-(ˌ)kō-ˌpath-ə-ˈläj-ik,,of or relating to anatomy and pathology or to pathological anatomy,adjective
introspectiveness,-ˈspek-shən,,"[""an examination of one's own thoughts and feelings""]",noun
irresponsibleness,ˌir-i-ˈspän(t)-sə-bəl,,not responsible : mentally inadequate to bear responsibility,adjective
immunosuppressant,-sə-ˈpres-ᵊnt,,an agent (such as a drug) that suppresses the immune response,noun
immunosuppression,-sə-ˈpresh-ən,,suppression (as by drugs or disease) of the immune response,noun
immunosuppressive,ˌim-yə-nō-sə-ˈpres-iv,,causing or characterized by immunosuppression,adjective
immunocompromised,-ˈkäm-prə-ˌmīzd,,having the immune system impaired or weakened (as by drugs or illness),adjective
immunotherapeutic,-ˈther-ə-pē,,"treatment or prevention of disease (such as a cancer, autoimmune disorder, or allergy) that involves the stimulation, enhancement, suppression, or desensitization of the immune system —called also immune therapy",noun
laryngopharyngeal,"lə-ˌriŋ-gō-ˌfar-ən-ˈjē-əl, -fə-ˈrin-j(ē-)əl",,of or common to both the larynx and the pharynx,adjective
leukoencephalitis,,,inflammation of the white matter of the brain,noun
mineralocorticoid,ˌmin(-ə)-rə-lō-ˈkȯrt-ə-ˌkȯid,,a corticosteroid (as aldosterone) that affects chiefly the electrolyte and fluid balance in the body,noun
multicollinearity,-ˌsis-tə-ˌrī-ˈnäs-tə-mē,,surgical creation of a passage for drainage between the lacrimal sac and the nasal cavity,noun
mammothermography,"i-ˈlev-ən-(ˌ)dē-ˌhī-drō-ˌkȯrt-ə-ˈkäs-tə-ˌrōn, -i-(ˌ)kō-stə-ˈ",,a steroid C21H28O4 extracted from the adrenal cortex and also made synthetically,noun
microspectroscope,-ˈspek-trə-ˌskōp,,a spectroscope arranged for attachment to a microscope for observation of the spectrum of light from minute portions of an object,noun
nonaccomplishment,d(y)u̇-ˌäd-ᵊn-ō-kə-ˌled-ə-ˈkät-ə-mē,,choledochotomy performed by approach through the duodenum by incision,noun
neurofibromatosis,-ˌdī-ig-ˈnäs-tik,,involving or obtained by the recording of responses to electrical stimulation or of spontaneous electrical activity (as in electromyography) for purposes of diagnosing a pathological condition,adjective
nonphotosynthetic,-in-ˈsef-ə-lə-ˌgram,,the tracing of brain waves made by an electroencephalograph,noun
nitrohydrochloric,-ˌgraf,,an apparatus for detecting and recording brain waves —called also encephalograph,noun
omphalomesenteric,"ˌäm(p)-fə-lō-ˌmez-ᵊn-ˈter-ik, -ˌmes-",,of or relating to the navel and mesentery,adjective
photoelectrically,ˌfōt-ō-i-ˈlek-trik,,"involving, relating to, or utilizing any of various electrical effects due to the interaction of radiation (as light) with matter",adjective
predestinarianism,ˌhet-ə-rō-ˈtran(t)s-ˌplant,,xenograft,noun
proportionateness,"ˌhek-sə-ˌklōr-ō-ˌsī-klō-ˈhek-ˌsān, -ˌklȯr-",,a derivative of cyclohexane containing six atoms of chlorine; especially : benzene hexachloride,noun
psychotherapeutic,-ˌther-ə-ˈpyüt-ik,,"of, relating to, or used in psychotherapy",adjective
photoconductivity,"-ˌkȯrt-ə-ˈkäs-tə-ˌrōn, -i-kō-stə-ˈ; -ˌkȯrt-i-kō-ˈsti(ə)r-ˌōn, -ˈste(ə)r-",,a hydroxy derivative of corticosterone; especially : cortisol,noun
pentylenetetrazol,"ˌpent-i-ˌlēn-ˈte-trə-ˌzȯl, -ˌzōl",,"a white crystalline drug C6H10N4 formerly used as a respiratory, circulatory, and central nervous system stimulant",noun
physiotherapeutic,ˌfiz-ē-ō-ˌther-ə-ˈpyüt-ik,,of or relating to physical therapy,adjective
pusillanimousness,"ˌim-yə-nō-ə-ˌlek-trə-fə-ˈrē-səs, im-ˌyü-nō-",,electrophoretic separation of proteins followed by identification by the formation of precipitates through specific immunologic reactions,noun
parapsychological,"ˌim-yə-nō-ə-ˌlek-trə-fə-ˈrē-səs, im-ˌyü-nō-",,electrophoretic separation of proteins followed by identification by the formation of precipitates through specific immunologic reactions,noun
pectinibranchiate,"-ˌgläs-ō-ˌfar-ən-ˈjē-əl, -ˌglȯs-, -fə-ˈrin-j(ē-)əl",,"of, relating to, or affecting the lips, tongue, and pharynx",adjective
spectrophotometer,ˌōt-ō-ˌrī-nō-ˌlar-ən-ˈgäl-ə-jəst,,a physician specializing in otorhinolaryngology : otolaryngologist,noun
semiconsciousness,-ˈkän-chəs,,incompletely conscious : imperfectly aware or responsive,adjective
spondylolisthesis,ˌspän-də-lō-lis-ˈthē-səs,,forward displacement of a lumbar vertebra on the one below it and especially of the fifth lumbar vertebra on the sacrum producing pain by compression of nerve roots,noun
sociobiologically,"ˌsō-sē-ō-bī-ˈäl-ə-jē, ˌsō-shē-",,the comparative study of the biological basis of social organization and behavior in animals and humans especially with regard to their genetic basis and evolutionary history,noun
superalimentation,ˌsü-pər-ˌal-ə-mən-ˈtā-shən,,the action or process of overfeeding —called also hypernutrition,noun
sesquipedalianism,"-ˌd(y)ü-ə-ˌdē-ˈnek-tə-mē, -d(y)u̇-ˌäd-ə-ˈnek-tə-mē",,pancreaticoduodenectomy,noun
scrophulariaceous,-ˌmeth-ə-ˌlēn-ˈdī-ə-ˌmēn,,cadaverine,noun
tenderheartedness,ˌfōt-ə-ˈmī-krə-ˌgraf,,a photograph of a microscope image —called also microphotograph,noun
telecommunication,,,a sulfonamide C17H13N3O5S2 used in the treatment of intestinal infections,noun
triskaidekaphobia,ˌtris-ˌkī-ˌdek-ə-ˈfō-bē-ə,,fear of the number 13,noun
thermocoagulation,ˌthər-mō-kō-ˌag-yə-ˈlā-shən,,surgical coagulation of tissue by the application of heat,noun
tracheobronchitis,ˌtrā-kē-ō-bräŋ-ˈkīt-əs,,inflammation of the trachea and bronchi,noun
thiodiphenylamine,"-ˌdī-ˌfen-ᵊl-ˈam-ˌēn, -ˌfēn-ᵊl-, -ə-ˈmēn",,phenothiazine,noun
transcendentality,-ˌfär-mə-kə-ˈläj-i-kəl,,"of, relating to, or used in psychopharmacology",adjective
trisacramentarian,ˌsī-kō-ˌfiz-ē-ə-ˈläj-i-kəl,,of or relating to psychophysiology; combining or involving mental and bodily processes,adjective
theophilanthropic,-ˌther-ə-ˈpyüt-ik,,"of, relating to, or used in psychotherapy",adjective
ultraconservative,-ˌman-ə-ˈme-trik,,"obtained with a sphygmomanometer; of, relating to, or used for sphygmomanometry",adjective
unsympathetically,ˌster-ē-ō-ˈmī-krə-ˌskōp,,a microscope having a set of optics for each eye to make an object appear in three dimensions,noun
unselfconsciously,"ˌster-ē-ō-ˌfōt-ō-ˈmī-krə-ˌgraf, ˌstir-",,a stereoscopic photograph made through a microscope,noun
undistinguishable,ˌblef-ə-(ˌ)rō-kən-ˌjəŋ(k)-tə-ˈvīt-əs,,inflammation of the eyelid and conjunctiva,noun
undergraduateship,"kə-ˌled-ə-(ˌ)kō-ˌd(y)ü-ə-də-ˈnäs-tə-mē, -d(y)u̇-ˌäd-ᵊn-ˈäs-",,surgical creation of a passage uniting the common bile duct and the duodenum,noun
underproportioned,ˌsin-ē-ˌan-jē-ō-ˌkärd-ē-ˈäg-rə-fē,,motion-picture photography of a fluoroscopic screen recording passage of a contrasting medium through the chambers of the heart and large blood vessels,noun
antiferromagnetism,,,chronic dacryocystitis with constriction of the lacrimal duct and consequent decomposition of tears,noun
anticholinesterase,"-ˈnes-tə-ˌrās, -ˌrāz",,any substance (as neostigmine) that inhibits a cholinesterase by combination with it,noun
arteriolosclerosis,"är-ˌtir-ē-ˌō-(ˌ)lō-sklə-ˈrō-səs, -ē-ə-ˌlō-",,thickening of the intima of arterioles (as of the kidney in hypertension) by hyaline and fatty deposits that reduce the lumen and obstruct blood flow,noun
adenocarcinomatous,"(ˌ)dē-ˌin(t)-stə-ˌt(y)üsh-nə-lə-ˈzā-shən, -ˌt(y)ü-shən-ᵊl-ə-ˈzā-",,the release of institutionalized individuals from institutional care (as in a psychiatric hospital) to care in the community,noun
agammaglobulinemia,,,a pathological condition in which the body forms few or no gamma globulins or antibodies,noun
antivivisectionist,"ˌant-i-ˌviv-ə-ˈsek-shən, ˌan-ˌtī-, -ˈviv-ə-ˌ",,opposition to animal experimentation and especially vivisection,noun
antivaccinationist,-ˌgraf,,an apparatus for detecting and recording brain waves —called also encephalograph,noun
anthropomorphitism,-ˌgraf,,an apparatus for detecting and recording brain waves —called also encephalograph,noun
anthropomorphology,i-ˌlek-trō-ˌfiz-ē-ˈäl-ə-jē,,physiology that is concerned with the electrical aspects of physiological phenomena; electrical phenomena associated with a physiological process (as the function of a body or bodily part),noun
characteristically,ˌkar-ik-tə-ˈris-tik,,serving to reveal and distinguish the individual character,adjective
chemotherapeutical,-ˌther-ə-ˈpyüt-ik,,"of, relating to, or used in chemotherapy",adjective
chloroacetophenone,ˌklōr-ō-ˌas-ət-(ˌ)ō-fə-ˈnōn,,a chlorine derivative of acetophenone; especially : the alpha derivative C8H7ClO used especially in solution as a tear gas —abbreviation CN,noun
coccidioidomycosis,(ˌ)käk-ˌsid-ē-ˌȯid-ō-(ˌ)mī-ˈkō-səs,,"a disease of humans and domestic animals that is caused by inhalation of arthroconidia from either of two fungi of the genus Coccidioides (Coccidioides immitis and C. posadasii) found in dry soils of the southwestern U.S., Mexico, and Central America and that may be asymptomatic or present as a mild to serious flu-like illness marked chiefly by fever, cough, sore throat, headache, fatigue, and pneumonia but sometimes becoming disseminated beyond the lungs especially to the skin, bones, joints, and meninges resulting in painful lesions, swollen joints, or meningitis —called also cocci, San Joaquin fever, San Joaquin valley fever, valley fever",noun
cytoarchitectonics,ˌsīt-ō-ˌär-kə-(ˌ)tek-ˈtän-iks,,cytoarchitecture,noun
